Identificador de URL;Nombre;Categorías;Precio;Precio promocional;Peso (kg);Alto (cm);Ancho (cm);Profundidad (cm);Stock;SKU;Código de barras;Mostrar en tienda;Envío sin cargo;Descripción;Tags;Título para SEO;Descripción para SEO;Marca;Producto Físico;MPN (Número de pieza del fabricante);Sexo;Rango de edad;Costo
danesa;Danesa;Bolleria y Panificados;4,500.00;;0.00;0.00;0.00;0.00;10;;;SI;NO;;;;;;SI;;;;
croissant-veggie;Croissant Veggie;Bolleria y Panificados;6,500.00;;0.00;0.00;0.00;0.00;10;;;SI;NO;Croissant con Brie, Cherry Confitado y Rucula.;;;;;SI;;;;
croissant-serrana;Croissant Serrana;Bolleria y Panificados;14,800.00;;0.00;0.00;0.00;0.00;10;;;SI;NO;Croissant con Queso Brie, Crudo, Rucula y Cherrys Confitados.;;;;;SI;;;;
croissant-con-nutella;Croissant Con Nutella;Bolleria y Panificados;7,900.00;;0.00;0.00;0.00;0.00;10;;;SI;NO;;;;;;SI;;;;
croissant-con-j-y-q;Croissant Con J y Q;Bolleria y Panificados;8,400.00;;0.00;0.00;0.00;0.00;10;;;SI;NO;Croissant con Jamón y Queso.;;;;;SI;;;;
croissant-breakfast;Croissant Breakfast;Bolleria y Panificados;8,400.00;;0.00;0.00;0.00;0.00;10;;;SI;NO;Croissant con Huevos Revueltos, Rucula y Cherry Confitado.;;;;;SI;;;;
croissant;Croissant;Bolleria y Panificados;3,500.00;;0.00;0.00;0.00;0.00;10;;;SI;NO;;;;;;SI;;;;
mini-alfajores-x3;Mini Alfajores x3;Cookies, Budines y Alfajores;4,500.00;;0.00;0.00;0.00;0.00;10;;;SI;NO;Opciones: Almendra, Maicena, Coco.;;;;;SI;;;;
mini-alfajor;Mini Alfajor;Cookies, Budines y Alfajores;1,800.00;;0.00;0.00;0.00;0.00;10;;;SI;NO;;;;;;SI;;;;
madeleine-x3;Madeleine x3;Cookies, Budines y Alfajores;4,800.00;;0.00;0.00;0.00;0.00;10;;;SI;NO;;;;;;SI;;;;
madeleine;Madeleine;Cookies, Budines y Alfajores;1,500.00;;0.00;0.00;0.00;0.00;10;;;SI;NO;;;;;;SI;;;;
financier-de-frutos-rojos;Financier de Frutos Rojos;Cookies, Budines y Alfajores;4,500.00;;0.00;0.00;0.00;0.00;10;;;SI;NO;Manteca Noissete, Harina de Almendras, Harina 0000, Claras, Polvo de Hornear, Manteca, Miel.;;;;;SI;;;;
cookies-x-3;Cookies x 3;Cookies, Budines y Alfajores;15,200.00;;0.00;0.00;0.00;0.00;10;;;SI;NO;Choco Nuez, Choco Naranja y Choco Blanco Pistacho.;;;;;SI;;;;
cookie-pistacho;Cookie Pistacho;Cookies, Budines y Alfajores;6,200.00;;0.00;0.00;0.00;0.00;10;;;SI;NO;Con Chocolate Blanco.;;;;;SI;;;;
cookie-keto;Cookie Keto;Cookies, Budines y Alfajores;6,300.00;;0.00;0.00;0.00;0.00;10;;;SI;NO;;;;;;SI;;;;
cookie-dubai;Cookie Dubai;Cookies, Budines y Alfajores;6,600.00;;0.00;0.00;0.00;0.00;10;;;SI;NO;;;;;;SI;;;;
cookie-avena-x3;Cookie Avena x3;Cookies, Budines y Alfajores;3,800.00;;0.00;0.00;0.00;0.00;10;;;SI;NO;;;;;;SI;;;;
cookie-avena;Cookie Avena;Cookies, Budines y Alfajores;1,700.00;;0.00;0.00;0.00;0.00;10;;;SI;NO;;;;;;SI;;;;
caja-de-alfajores;Caja de Alfajores;Cookies, Budines y Alfajores;14,000.00;;0.00;0.00;0.00;0.00;10;;;SI;NO;Mini Alfajores de Almendra, Maicena, Pistachio y Mar del Plata.;;;;;SI;;;;
budines;Budínes;Cookies, Budines y Alfajores;4,800.00;;0.00;0.00;0.00;0.00;10;;;SI;NO;Limón, Chocolate o Carrot.;;;;;SI;;;;
brownie;Brownie;Cookies, Budines y Alfajores;5,200.00;;0.00;0.00;0.00;0.00;10;;;SI;NO;De Chocolate Con Nueces.;;;;;SI;;;;
alfajor-de-pistacho;Alfajor de Pistacho;Cookies, Budines y Alfajores;5,500.00;;0.00;0.00;0.00;0.00;10;;;SI;NO;Alfajor Relleno de Ganache de Pistachio, Bañado en Chocolate Blanco.;;;;;SI;;;;
alfajor-de-maicena;Alfajor de Maicena;Cookies, Budines y Alfajores;4,800.00;;0.00;0.00;0.00;0.00;10;;;SI;NO;Alfajor de Maicena.;;;;;SI;;;;
alfajor-de-almendra;Alfajor de Almendra;Cookies, Budines y Alfajores;5,000.00;;0.00;0.00;0.00;0.00;10;;;SI;NO;;;;;;SI;;;;
alfajor-mar-del-plata;Alfajor Mar del Plata;Cookies, Budines y Alfajores;5,500.00;;0.00;0.00;0.00;0.00;10;;;SI;NO;Alfajor Clasico Mar del Plata.;;;;;SI;;;;
cookies;Cookies;Cookies, Budines y Alfajores;5,800.00;;0.00;0.00;0.00;0.00;10;;;SI;NO;Choco Nuez, Choco Naranja, Salted Caramel o Red Velvet.;;;;;SI;;;;
toston-serrano;Toston Serrano;Sandwichs y Tostados;14,800.00;;0.00;0.00;0.00;0.00;10;;;SI;NO;Sándwich en Pan De Masa Madre con Queso Brie, Crudo, Rucula y Cherrys Confitados.;;;;;SI;;;;
tostado-veggie;Tostado Veggie;Sandwichs y Tostados;7,800.00;;0.00;0.00;0.00;0.00;10;;;SI;NO;Tostado con queso y cherrys confitados.;;;;;SI;;;;
tostado-de-j-y-q;Tostado De J y Q;Sandwichs y Tostados;9,200.00;;0.00;0.00;0.00;0.00;10;;;SI;NO;Tostado en Pan Brioche.;;;;;SI;;;;
smoothie-detox;Smoothie Detox;Bebidas y Tragos;6,800.00;;0.00;0.00;0.00;0.00;10;;;SI;NO;;;;;;SI;;;;
limonadas-vaso;Limonadas Vaso;Bebidas y Tragos;6,500.00;;0.00;0.00;0.00;0.00;10;;;SI;NO;Limo Clásica, Limo M y J o Pomelada.;;;;;SI;;;;
limonadas-jarra;Limonadas Jarra;Bebidas y Tragos;12,000.00;;0.00;0.00;0.00;0.00;10;;;SI;NO;Limo Clásica, Limo M y J o Pomelada.;;;;;SI;;;;
limonada-de-hibiscus-vaso;Limonada de Hibiscus Vaso;Bebidas y Tragos;7,500.00;;0.00;0.00;0.00;0.00;10;;;SI;NO;;;;;;SI;;;;
limonada-de-hibiscus-jarra;Limonada de Hibiscus Jarra;Bebidas y Tragos;14,000.00;;0.00;0.00;0.00;0.00;10;;;SI;NO;;;;;;SI;;;;
licuados;Licuados;Bebidas y Tragos;7,800.00;;0.00;0.00;0.00;0.00;10;;;SI;NO;A Base Leche, Jugo o Agua.;;;;;SI;;;;
licuado-con-leche-vegetal;Licuado Con Leche Vegetal;Bebidas y Tragos;9,500.00;;0.00;0.00;0.00;0.00;10;;;SI;NO;;;;;;SI;;;;
gin-tonic;Gin Tonic;Bebidas y Tragos;13,000.00;;0.00;0.00;0.00;0.00;10;;;SI;NO;;;;;;SI;;;;
gaseosas;Gaseosas;Bebidas y Tragos;4,800.00;;0.00;0.00;0.00;0.00;10;;;SI;NO;Linea Coca-Cola.;;;;;SI;;;;
exprimidos;Exprimidos;Bebidas y Tragos;6,000.00;;0.00;0.00;0.00;0.00;10;;;SI;NO;Naranja o Pomelo.;;;;;SI;;;;
copa-de-vino;Copa De Vino;Bebidas y Tragos;9,000.00;;0.00;0.00;0.00;0.00;10;;;SI;NO;;;;;;SI;;;;
campari-orange;Campari Orange;Bebidas y Tragos;9,500.00;;0.00;0.00;0.00;0.00;10;;;SI;NO;;;;;;SI;;;;
agua-mineral;Agua Mineral;Bebidas y Tragos;3,800.00;;0.00;0.00;0.00;0.00;10;;;SI;NO;Agua Mineral Sin Gas o Con Gas.;;;;;SI;;;;
tuna-melt-sandwich;Tuna Melt Sandwich;Almuerzos;16,200.00;;0.00;0.00;0.00;0.00;10;;;SI;NO;Pan Brioche, Atun, Queso, Salsa Verde, acopañado de Verdes y Papas.;;;;;SI;;;;
tortilla-de-papa;Tortilla De Papa;Almuerzos;12,200.00;;0.00;0.00;0.00;0.00;10;;;SI;NO;Con Ensalada.;;;;;SI;;;;
tarta-de-calabaza-y-queso-azul-con-mix-de-verdes;Tarta de Calabaza y Queso Azul Con Mix de Verdes;Almuerzos;14,000.00;;0.00;0.00;0.00;0.00;10;;;SI;NO;Masa sin Gluten, Cebolla Caramelizada, Calabaza, Queso Azul.;;;;;SI;;;;
tarta-de-puerro-y-brie-y-mix-de-verdes;Tarta De Puerro y Brie Y Mix De Verdes;Almuerzos;14,000.00;;0.00;0.00;0.00;0.00;10;;;SI;NO;;;;;;SI;;;;
sandwich-de-pollo;Sandwich de Pollo;Almuerzos;16,800.00;;0.00;0.00;0.00;0.00;10;;;SI;NO;Pan Brioche, Pollo desmechado, Rucula, Salsa de Palta.;;;;;SI;;;;
omelette-con-ensalada;Omelette Con Ensalada;Almuerzos;15,000.00;;0.00;0.00;0.00;0.00;10;;;SI;NO;;;;;;SI;;;;
milanesas-con-papas-o-verdes;Milanesas Con Papas o Verdes;Almuerzos;18,000.00;;0.00;0.00;0.00;0.00;10;;;SI;NO;De Ternera o Suprema.;;;;;SI;;;;
ensalada-de-pollo-a-la-plancha;Ensalada de Pollo a la Plancha;Almuerzos;16,500.00;;0.00;0.00;0.00;0.00;10;;;SI;NO;Verdes, Pollo a la Plancha, remolacha, huevo, queso, Palta, Pepino, Cherry, Almendras, dips con salsa de palta.;;;;;SI;;;;
ensalada-de-pollo-crispy;Ensalada de Pollo Crispy;Almuerzos;18,000.00;;0.00;0.00;0.00;0.00;10;;;SI;NO;Mix de Vedes, Pepino, Cebolla Morada, Palta, Cherry Confitado, Pollo Crispy y Huevo.;;;;;SI;;;;
ensalada-de-atun;Ensalada de Atun;Almuerzos;15,000.00;;0.00;0.00;0.00;0.00;10;;;SI;NO;Mix de Vedes, Palta, Cebolla Morada, Atún, Huevo y Pepino.;;;;;SI;;;;
ensalada-veggie;Ensalada Veggie;Almuerzos;15,000.00;;0.00;0.00;0.00;0.00;10;;;SI;NO;Mix de Verdes, Queso Brie, Alcaparras, Cherry Confitado, Berenjena, Zucchini y Laminas de Zanahoria Grilladas.;;;;;SI;;;;
yogur-natural-con-fruta-y-granola;Yogur Natural con Fruta y Granola;Desayuno y Merienda;9,800.00;;0.00;0.00;0.00;0.00;10;;;SI;NO;;;;;;SI;;;;
tostadas-con-queso-y-mermelada;Tostadas Con Queso y Mermelada;Desayuno y Merienda;6,000.00;;0.00;0.00;0.00;0.00;10;;;SI;NO;En Pan De Molde.;;;;;SI;;;;
plato-de-frutas-de-estacion;Plato De Frutas De Estación;Desayuno y Merienda;8,000.00;;0.00;0.00;0.00;0.00;10;;;SI;NO;;;;;;SI;;;;
huevos-revueltos-con-tostadas;Huevos Revueltos Con Tostadas;Desayuno y Merienda;8,200.00;;0.00;0.00;0.00;0.00;10;;;SI;NO;En Pan De Molde.;;;;;SI;;;;
avocado-toast;Avocado Toast;Desayuno y Merienda;12,700.00;;0.00;0.00;0.00;0.00;10;;;SI;NO;Tostón de Masa Madre con Queso Crema, Palta en Laminas, Huevos Revueltos y Tomates Confitados.;;;;;SI;;;;
te;Té;Cafeteria;4,000.00;;0.00;0.00;0.00;0.00;10;;;SI;NO;;;;;;SI;;;;
submarino;Submarino;Cafeteria;6,000.00;;0.00;0.00;0.00;0.00;10;;;SI;NO;;;;;;SI;;;;
mocca;Mocca;Cafeteria;6,800.00;;0.00;0.00;0.00;0.00;10;;;SI;NO;;;;;;SI;;;;
matcha-latte;Matcha Latte;Cafeteria;6,900.00;;0.00;0.00;0.00;0.00;10;;;SI;NO;;;;;;SI;;;;
magic;Magic;Cafeteria;4,400.00;;0.00;0.00;0.00;0.00;10;;;SI;NO;;;;;;SI;;;;
macchiato;Macchiato;Cafeteria;4,400.00;;0.00;0.00;0.00;0.00;10;;;SI;NO;;;;;;SI;;;;
lungo;Lungo;Cafeteria;4,200.00;;0.00;0.00;0.00;0.00;10;;;SI;NO;;;;;;SI;;;;
latte-de-vainilla;Latte de Vainilla;Cafeteria;6,400.00;;0.00;0.00;0.00;0.00;9;;;SI;NO;;;;;;SI;;;;
latte-de-caramelo;Latte de Caramelo;Cafeteria;6,400.00;;0.00;0.00;0.00;0.00;10;;;SI;NO;;;;;;SI;;;;
latte-de-avellana;Latte de Avellana;Cafeteria;6,000.00;;0.00;0.00;0.00;0.00;10;;;SI;NO;;;;;;SI;;;;
latte-doble;Latte Doble;Cafeteria;6,400.00;;0.00;0.00;0.00;0.00;10;;;SI;NO;;;;;;SI;;;;
latte;Latte;Cafeteria;5,400.00;;0.00;0.00;0.00;0.00;10;;;SI;NO;;;;;;SI;;;;
iced-vanilla-latte;Iced Vanilla Latte;Cafeteria;6,400.00;;0.00;0.00;0.00;0.00;10;;;SI;NO;;;;;;SI;;;;
iced-mocca;Iced Mocca;Cafeteria;6,800.00;;0.00;0.00;0.00;0.00;10;;;SI;NO;;;;;;SI;;;;
iced-matcha-latte;Iced Matcha Latte;Cafeteria;6,800.00;;0.00;0.00;0.00;0.00;10;;;SI;NO;;;;;;SI;;;;
iced-latte;Iced Latte;Cafeteria;5,500.00;;0.00;0.00;0.00;0.00;10;;;SI;NO;;;;;;SI;;;;
iced-flat-white;Iced Flat White;Cafeteria;5,500.00;;0.00;0.00;0.00;0.00;10;;;SI;NO;;;;;;SI;;;;
iced-caramel-latte;Iced Caramel Latte;Cafeteria;6,400.00;;0.00;0.00;0.00;0.00;10;;;SI;NO;;;;;;SI;;;;
iced-americano;Iced Americano;Cafeteria;4,900.00;;0.00;0.00;0.00;0.00;10;;;SI;NO;;;;;;SI;;;;
ice-matcha-frambuesa;Ice Matcha Frambuesa;Cafeteria;7,000.00;;0.00;0.00;0.00;0.00;10;;;SI;NO;;;;;;SI;;;;
flat-white;Flat White;Cafeteria;4,900.00;;0.00;0.00;0.00;0.00;10;;;SI;NO;;;;;;SI;;;;
filtrado-v60-para-2;Filtrado V60 Para 2;Cafeteria;10,000.00;;0.00;0.00;0.00;0.00;10;;;SI;NO;;;;;;SI;;;;
filtrado-v60;Filtrado V60;Cafeteria;7,000.00;;0.00;0.00;0.00;0.00;10;;;SI;NO;;;;;;SI;;;;
espresso;Espresso;Cafeteria;3,600.00;;0.00;0.00;0.00;0.00;10;;;SI;NO;;;;;;SI;;;;
doppio;Doppio;Cafeteria;4,600.00;;0.00;0.00;0.00;0.00;10;;;SI;NO;;;;;;SI;;;;
cortado;Cortado;Cafeteria;4,200.00;;0.00;0.00;0.00;0.00;10;;;SI;NO;;;;;;SI;;;;
coffe-tonic;Coffe Tonic;Cafeteria;6,800.00;;0.00;0.00;0.00;0.00;10;;;SI;NO;;;;;;SI;;;;
chocolatada-fria;Chocolatada Fria;Cafeteria;5,000.00;;0.00;0.00;0.00;0.00;10;;;SI;NO;;;;;;SI;;;;
chocolatada-caliente;Chocolatada Caliente;Cafeteria;5,500.00;;0.00;0.00;0.00;0.00;10;;;SI;NO;;;;;;SI;;;;
capuccino;Capuccino;Cafeteria;4,900.00;;0.00;0.00;0.00;0.00;10;;;SI;NO;;;;;;SI;;;;
cafe-x-1-4;Cafe x 1/4;Cafeteria;27,000.00;;0.00;0.00;0.00;0.00;10;;;SI;NO;;;;;;SI;;;;
americano;Americano;Cafeteria;4,500.00;;0.00;0.00;0.00;0.00;10;;;SI;NO;;;;;;SI;;;;
affogato;Affogato;Cafeteria;7,800.00;;0.00;0.00;0.00;0.00;10;;;SI;NO;;;;;;SI;;;;
menu-ejecutivo-tarta;Menú Ejecutivo Tarta;Combos;18,000.00;;0.00;0.00;0.00;0.00;10;;;SI;NO;Tarta con Papas o Verdes + Bebida + Café. Disponible de L a V de 12 a 15 hrs.;;;;;SI;;;;
menu-ejecutivo-omelette;Menú Ejecutivo Omelette;Combos;16,000.00;;0.00;0.00;0.00;0.00;10;;;SI;NO;Omelette Con Ensalada + Bebida + Cafe. Disponible de L a V de 12 a 15 hrs.;;;;;SI;;;;
menu-ejecutivo-milanesa;Menú Ejecutivo Milanesa;Combos;21,000.00;;0.00;0.00;0.00;0.00;10;;;SI;NO;Milanesa con Papas o Verdes + Bebida + Cafe. Disponible de L a V de 12 a 15 hrs.;;;;;SI;;;;
menu-ejecutivo-ensalada;Menú Ejecutivo Ensalada;Combos;19,000.00;;0.00;0.00;0.00;0.00;10;;;SI;NO;Ensalada + Bebida + Cafe. Disponible de L a V de 12 a 15 hrs.;;;;;SI;;;;
combo-tostadas-jugo;Combo Tostadas + Jugo;Combos;12,000.00;;0.00;0.00;0.00;0.00;10;;;SI;NO;Café + Tostadas c/ Queso y Mermelada + Exprimido Chico.;;;;;SI;;;;
combo-torta;Combo Torta;Combos;13,500.00;;0.00;0.00;0.00;0.00;10;;;SI;NO;Café + Torta.;;;;;SI;;;;
combo-medialunas;Combo Medialunas;Combos;8,800.00;;0.00;0.00;0.00;0.00;10;;;SI;NO;Café + 2 Medialunas.;;;;;SI;;;;
combo-croissant;Combo Croissant;Combos;7,800.00;;0.00;0.00;0.00;0.00;10;;;SI;NO;Cafe + Croissant.;;;;;SI;;;;
combo-americano;Combo Americano;Combos;13,500.00;;0.00;0.00;0.00;0.00;10;;;SI;NO;Cafe + Huevos Revueltos con Palta, Bacón y Tostón de Masa Madre.;;;;;SI;;;;
brunch-tyta;Brunch Tyta;Combos;55,000.00;;0.00;0.00;0.00;0.00;10;;;SI;NO;2 Mini Jugos de Naranja o Jarra de Limonada, 2 infusiones frias o calientes, 1 Bowl de fruta, 1 laminado o tostado de Jamon y Queso, 3 Mini Bagels, 1 Porcion de Torta a eleccion.;;;;;SI;;;;
brunch-clasico;Brunch Clasico;Combos;48,000.00;;0.00;0.00;0.00;0.00;10;;;SI;NO;Brunch Para 2 Personas: 2 Infusiones, 2 Exprimidos Chicos, 1 Bowl De Yogurt Griego c/ Frutas, 1 Avocado Toast, 1 Laminado Con J y Q, 1 Torta o Lingote a Elección.;;;;;SI;;;;
key-lime-pie;Key Lime Pie;Tortas Enteras;65,000.00;;0.00;0.00;0.00;0.00;5;;;SI;NO;Torta entera clásica.;;;;;SI;;;;
torta-rogel;Torta Rogel;Tortas Enteras;68,000.00;;0.00;0.00;0.00;0.00;5;;;SI;NO;Torta entera clásica de capas y dulce de leche.;;;;;SI;;;;
torta-nuez-grande;Torta Nuez Grande;Tortas Enteras;68,000.00;;0.00;0.00;0.00;0.00;5;;;SI;NO;Torta entera grande.;;;;;SI;;;;
torta-matilda-grande;Torta Matilda Grande;Tortas Enteras;80,000.00;;0.00;0.00;0.00;0.00;0;;;SI;NO;Torta entera grande, súper chocolatosa.;;;;;SI;;;;
torta-marquisse;Torta Marquisse;Tortas Enteras;60,000.00;;0.00;0.00;0.00;0.00;0;;;SI;NO;Torta entera de chocolate intenso.;;;;;SI;;;;
torta-cumple;Torta Cumple;Tortas Enteras;75,000.00;;0.00;0.00;0.00;0.00;0;;;SI;NO;Especial para festejos.;;;;;SI;;;;
torta-coca;Torta Coca;Tortas Enteras;72,000.00;;0.00;0.00;0.00;0.00;0;;;SI;NO;Torta entera.;;;;;SI;;;;
red-velvet;Red Velvet;Tortas Enteras;68,000.00;;0.00;0.00;0.00;0.00;0;;;SI;NO;Torta entera.;;;;;SI;;;;
letter-cake;Letter Cake;Tortas Enteras;60,000.00;;0.00;0.00;0.00;0.00;0;;;SI;NO;Torta con forma de letra, ideal para cumpleaños.;;;;;SI;;;;
lemon-pie-grande;Lemon Pie Grande;Tortas Enteras;60,000.00;;0.00;0.00;0.00;0.00;5;;;SI;NO;Torta entera grande.;;;;;SI;;;;
chocotorta-grande;Chocotorta Grande;Tortas Enteras;70,000.00;;0.00;0.00;0.00;0.00;0;;;SI;NO;Torta entera grande, un clásico argentino.;;;;;SI;;;;
cheese-cake-vasca;Cheese Cake Vasca;Tortas Enteras;70,000.00;;0.00;0.00;0.00;0.00;5;;;SI;NO;Queso Mascarpone, Queso Crema, Coulis de Frutos rojos, decorada con frutillas.;;;;;SI;;;;
cheese-cake-ny;Cheese Cake NY;Tortas Enteras;68,000.00;;0.00;0.00;0.00;0.00;0;;;SI;NO;Torta entera, estilo New York clásico.;;;;;SI;;;;
carrot-cake-grande;Carrot Cake Grande;Tortas Enteras;64,000.00;;0.00;0.00;0.00;0.00;0;;;SI;NO;Torta entera grande.;;;;;SI;;;;
apple-crumble;Apple Crumble;Tortas Enteras;60,000.00;;0.00;0.00;0.00;0.00;5;;;SI;NO;Torta entera clásica.;;;;;SI;;;;
caja-de-macarrons-8-u;Caja de Macarrons (8 u.);Cajas y Degustaciones;18,000.00;;0.00;0.00;0.00;0.00;0;;;SI;NO;Caja de 8 unidades de nuestros clásicos macarrons surtidos.;;;;;SI;;;;
caja-degustacion-20-u;Caja Degustación (20 u.);Cajas y Degustaciones;39,000.00;;0.00;0.00;0.00;0.00;10;;;SI;NO;Selección surtida de 20 piezas de nuestra pastelería premium.;;;;;SI;;;;
caja-degustacion-15-u;Caja Degustación (15 u.);Cajas y Degustaciones;33,000.00;;0.00;0.00;0.00;0.00;10;;;SI;NO;Selección surtida de 15 piezas de nuestra pastelería premium.;;;;;SI;;;;
